Datum,Checksum,Aktualnost,Chybi_pocet,Zmena_link_pocet,Ostranit_pocet,Celk_zmen
2020-10-08 16:30:00,13b79d8ebd7216857497ee34f27bd88d,100,0,0,0,0
2020-10-08 16:57:00,6c88444aab92dc4aaddf91b41fe867c6,100,0,0,0,0
2020-10-08 17:02:00,c03c6480d25eefda5099530a9b4f51bd,97,1,0,0,1
2020-10-08 17:19:00,70becd256b67415435093bfef574c71b,100,0,0,0,0
2020-10-08 17:21:00,0de822e7a8152d7e7672ee6adbc6425b,100,0,0,0,0
2020-10-08 18:07:00,d64daac933d86facdb8048e489c73c9b,100,0,0,0,0
2020-10-08 18:07:00,36d24cae19abcf579aeb700697751d3a,100,0,0,0,0
2020-10-08 19:12:00,a8c739e46451c179bae339a14ea8df39,100,0,0,0,0
2020-10-08 19:14:00,9144204526ae488a79699dd155c62144,100,0,0,0,0
2020-10-08 21:27:00,cc3fa95be8754345e66eafd33944f964,87,7,0,0,7
2020-10-08 21:32:00,a06aa32f9f20920c756405f103534bd4,89,6,0,0,6
2020-10-08 21:44:00,a7340dfa460c31c9a07ee63e5046ad17,90,5,0,0,5
2020-10-09 08:32:00,7f4222974cd208d609a8d4a3d7f76c24,90,5,0,0,5
2020-10-09 10:47:00,cbd900632fb635838ce52220a229d679,92,4,0,0,4
2020-10-09 11:35:00,aeacc505c29943fe769b4276c89922a2,92,4,0,0,4
2020-10-09 15:17:00,44307c35f977ab9fb47586fb0a4860ab,94,3,0,0,3
2020-10-09 15:33:00,e0349a8e41493768aa6f9e65715dc639,94,3,0,0,3
2020-10-09 15:46:00,d7c10fc2cc9dbd18f4f4ef645f54e758,94,3,0,0,3
2020-10-09 16:03:00,002040d3be842836d5464d482efac79d,94,3,0,0,3
2020-10-09 18:16:00,58d86cc753f1c0a57a3b3d40d15063b9,94,3,0,0,3
2020-10-09 18:18:00,bbf292ddeb15ea1db06c57d27e5581ba,92,4,0,0,4
2020-10-09 19:06:00,da65a42b8e804199cb7d7cbc35818f42,88,6,0,0,6
2020-10-09 19:08:00,012332343f84cdccf83123633d75252a,88,6,0,0,6
2020-10-09 19:11:00,9afb73776dba5a50bb8ac453611645c6,85,8,0,0,8
2020-10-09 23:58:00,b51850bef6b61c8d71e9cbcd6ffcae8b,90,5,0,0,5
2020-10-10 00:00:00,608335b17960e8a224188c46cecefffb,92,4,0,0,4
2020-10-10 00:15:00,b2b5d74c8aa3d933b3f1d2f835182384,94,3,0,0,3
2020-10-10 18:19:00,396717eb34deaca839725283e63108bd,96,2,0,0,2
2020-10-10 19:11:00,8a7a2a30bc4d9cce387dca7bd1b96a91,96,2,0,0,2
2020-10-10 20:25:00,726c3c760382a2b10abeba25f6cfa2a5,98,1,0,0,1
2020-10-12 10:39:00,bf9c50ff3a4a97fb6ece24809eeaf0db,100,0,0,0,0
2020-10-12 11:51:00,91c582ea1e4902624cc8d14b2f478c88,100,0,0,0,0
2020-10-12 11:52:00,cd8a46306c2441ca6742eb5afd935308,98,1,0,0,1
2020-10-13 11:11:00,96380aafe1239fb405a54c1218ad103b,98,1,0,0,1
2020-10-13 11:13:00,c7d8b007e5b7db5bdca3b71ffdca8efd,87,7,0,0,7
2020-10-13 12:00:00,c1052a094933c528437a3037c4b8832d,89,6,0,0,6
2020-10-13 12:05:00,c87466a6cfbc8befdba45233471bca48,90,5,0,0,5
2020-10-13 12:14:00,9c9fae3d6e95dd7baf963ccb49399d04,92,4,0,0,4
2020-10-13 13:00:00,c704063c997ddd1a6106cbad86da3fd0,94,3,0,0,3
2020-10-13 18:36:00,d405e983a938cd85557f1d9103c15b26,94,3,0,0,3
2020-10-13 20:46:00,306cd6bce8fe5886d028ce38f74bec6f,96,2,0,0,2
2020-10-13 21:35:00,b6394796b37fc1f0dd9ae1d11792b952,98,1,0,0,1
2020-10-13 22:14:00,7017f603a126d38ac9c86eac1354d900,100,0,0,0,0
2020-10-14 14:15:00,036201dd9ad8ec0cccea7c5f72b38a77,100,0,0,0,0
2020-10-14 17:35:00,f60cec5e30a0eeb5282c5ddfcdedc198,100,0,0,0,0
2020-10-14 17:40:00,83103c87e3b5eb851f463a1e96745b2f,98,1,0,0,1
2020-10-15 11:26:00,17c90ecdb783c3ab4aa7d010f0c847f4,100,0,0,0,0
2020-10-15 11:31:00,52c96c6c03d85fdac6567f55a0838f8c,98,1,0,0,1
2020-10-15 11:56:00,48794b8eb8069aaa98d02eda78fb1dc9,98,1,0,0,1
2020-10-15 12:01:00,76ca899c8bb9ae9ae63818a5c771f79a,94,3,0,0,3
2020-10-15 20:06:00,eb2e1ca5720475395fae0d708e8df821,94,3,0,0,3
2020-10-16 08:53:00,c099c3608b4337eb360cb3280be52f2f,94,3,0,0,3
2020-10-16 14:28:00,3efcc285a6c87d825adf5084e299c6b4,94,3,0,0,3
2020-10-16 14:33:00,944ac64140fac4c41820c82c558d6af6,92,4,0,0,4
2020-10-16 14:43:00,faee96d7e7bd467cd588716592ee5799,91,4,0,0,4
2020-10-16 14:48:00,92a8f65b16cb45f2c675d998d99cf77e,89,5,0,0,5
2020-10-16 14:54:00,949faf121acf14eef60e32f8b415dbf1,89,5,0,0,5
2020-10-16 16:08:00,79aee0820a009d8b58c1be4908927ff3,83,8,0,0,8
2020-10-16 16:13:00,4cd5523a8d201e33b5b333a3e739da2c,89,5,0,0,5
2020-10-16 16:18:00,fef76935e03f36e76532b948d2efb104,89,5,0,0,5
2020-10-17 15:48:00,86fab9e129a77e9c343256e80bf54022,91,4,0,0,4
2020-10-17 15:53:00,b7889a1549423396918481805955b652,93,3,0,0,3
2020-10-17 16:28:00,05ba44be7d9495ac37b13d8387b53f5a,97,1,0,0,1
2020-10-17 16:40:00,cc0b5724fa20ed214ea5a2fe63829fd2,100,0,0,0,0
2020-10-19 19:04:00,f0318ca565b1b15df5379ecbed52c0c5,97,1,0,0,1
2020-10-19 19:09:00,279b994d37ab42fd992b0dff7a250238,91,4,0,0,4
2020-10-20 16:24:00,1bec5f522bb01521fe58c47503a19c70,89,5,0,0,5
2020-10-20 16:29:00,3dd24e855a6ecbadd3705e1519d26cdd,91,4,0,0,4
2020-10-20 16:34:00,48667eae1ce2a3ee66e8d7a0020b39e9,87,6,0,0,6
2020-10-20 18:06:00,b8e760cf35b596a5d9fa28a5ab468b0b,89,5,0,0,5
2020-10-20 18:26:00,98f6f3c51b69cde96c2c3ef5a031a2fc,91,4,0,0,4
2020-10-20 18:27:00,cd41a3e3b811525a2593b18f72ea27b3,93,3,0,0,3
2020-10-20 18:28:00,3fcea36137ff4837cce9fab8a3037129,95,2,0,0,2
2020-10-21 12:21:00,89181046f45a74d4caa6051d1530dddb,97,1,0,0,1
2020-10-21 12:36:00,c5abb1f7207d6146b88acb0135d1031e,97,1,0,0,1
2020-10-21 12:46:00,c532a23d9be6425038333e0762aad3e3,97,1,0,0,1
2020-10-21 12:56:00,4ddc154ff73865ab78725fa56d1b087b,97,1,0,0,1
2020-10-21 14:31:00,3d2591cf086b48d101b8d8b603c53e12,97,1,0,0,1
2020-10-21 14:36:00,629514ccfe8696a12cb5c2721d7dffdc,91,4,0,0,4
2020-10-21 16:01:00,785a63e3fa66918571f1a150aff694d8,93,3,0,0,3
2020-10-21 20:21:00,79b7a3e64d1a40c62372a7178f13f3dc,91,4,0,0,4
2020-10-22 10:24:00,6e667823c022bbba9352994ef781a410,91,4,0,0,4
2020-10-22 14:24:00,416f93c029f30c44ade8603c628a9d9a,91,4,0,0,4
2020-10-22 16:09:00,49d5d4c1ba35cbf9279dfff9627badc8,93,3,0,0,3
2020-10-22 16:36:00,29bdaca4923fd9721d05662571493213,95,2,0,0,2
